Video Title,Description,Image URL,CTA Text,Category
Social Media,Are you tired of short battery earbuds? These last 48 hours with noise cancelling!,,Shop Now,Digital Marketing
Email Marketing,Want to build Minecraft worlds? This LEGO set brings it to life for kids!,,Shop Now,Digital Marketing
SEO,Looking for safe toys for kids? These antibacterial magnetic tiles inhibit bacteria!,,Shop Now,Digital Marketing
Instagram,Need hydrating skincare? This Tatcha set is a $119 value for dewy skin!,,Shop Now,Digital Marketing
Facebook Ads,Love Pokémon adventures? Legends: Arceus is an open-world RPG!,,Shop Now,Digital Marketing
Twitter,Ready for epic Zelda quests? Tears of the Kingdom has amazing new mechanics!,,Shop Now,Digital Marketing
LinkedIn,Want sports fun on Switch? Nintendo Switch Sports uses motion controls!,,Shop Now,Digital Marketing
PPC,Need a colorful console? This Switch with neon Joy-Con is versatile!,,Shop Now,Digital Marketing
Content Marketing,Party with Mario friends? Superstars has classic boards and mini-games!,,Shop Now,Digital Marketing
Influencer Marketing,Sonic speed fan? This double pack includes Mania and Racing!,,Shop Now,Digital Marketing
TikTok,Shadow the Hedgehog lover? Generations mixes modern and classic gameplay!,,Shop Now,Digital Marketing
Pinterest,Star Wars collector? This heritage pack has epic stories!,,Shop Now,Digital Marketing
YouTube,Want the latest PS5? The slim digital edition is powerful!,,Shop Now,Digital Marketing
Snapchat,Need extra controllers? These light blue/red Joy-Con fit perfectly!,,Shop Now,Digital Marketing
WhatsApp Marketing,Track your fitness daily? This smartwatch has 120+ sport modes!,,Shop Now,Digital Marketing
